ID,Listing Confirmation Method,Deposit Amount,Monthly Rent,Exclusive Area,Unit Floor,Total Floors,Direction,Number of Rooms,Number of Bathrooms,Parking Availability,Total Parking Spaces,Maintenance Fee,Real Estate Agency,Brokerage Platform,Listing Year,Listing Month,Listing Day,Listing Weekday,Days Since Listed,False Listing
TRAIN_0638,On-site Confirmation,155500000,540000,19.59,6,11,북서향,2,2,Available,42,0,G52Iz8V2B9,Platform B,2024,3,21,Thursday,478,Real Listing
TRAIN_0639,On-site Confirmation,144500000,310000,21.32,9,11,South,1,1,Not Available,28,0,G52Iz8V2B9,Platform A,2023,12,13,Wednesday,577,Real Listing
TRAIN_0640,서류확인,88500000,360000,39.73,8,8,East,2,1,Available,7,9,U32BI2S7X3,Platform E,2024,9,26,Thursday,289,Real Listing
TRAIN_0641,서류확인,127500000,550000,40.64,5,6,South,2,1,Available,11,12,H90uE4C0W5,Platform A,2024,9,12,Thursday,303,Real Listing
TRAIN_0642,On-site Confirmation,321500000,250000,25.29,6,6,남서향,1,1,Available,6,10,r16Dr6Z7C3,G플랫폼,2024,11,14,Thursday,240,Real Listing
TRAIN_0643,Phone Confirmation,82000000,330000,39.73,8,8,East,2,1,Available,7,6,K25cF2K7X6,Platform E,2025,1,19,Sunday,174,Real Listing
TRAIN_0644,서류확인,140500000,470000,24.01,10,10,남서향,2,1,Available,8,2,K86UF7I0P3,Platform C,2024,9,21,Saturday,294,Real Listing
TRAIN_0645,서류확인,12500000,260000,28.09,2,3,북서향,2,1,Not Available,,6,a15xR3G4V0,Platform A,2024,12,7,Saturday,217,Real Listing
TRAIN_0646,On-site Confirmation,351000000,10000,18.87,6,16,East,1,1,Available,54,22,z40LO7P9C9,F플랫폼,2024,3,26,Tuesday,473,Fake Listing
TRAIN_0647,On-site Confirmation,97500000,150000,38.52,1,5,East,2,2,Available,23,1,G52Iz8V2B9,F플랫폼,2024,7,14,Sunday,363,Real Listing
TRAIN_0648,On-site Confirmation,18500000,410000,31.46,6,12,South,1,1,Not Available,11,5,G52Iz8V2B9,Platform A,2024,12,3,Tuesday,221,Real Listing
TRAIN_0649,서류확인,18500000,100000,25.88,1,2,남서향,1,1,Not Available,36,12,G52Iz8V2B9,Platform A,2023,12,9,Saturday,581,Real Listing
TRAIN_0650,On-site Confirmation,129500000,50000,28.89,,8,Southeast,2,1,Available,8,7,r16Dr6Z7C3,Platform A,2024,11,9,Saturday,245,Real Listing
TRAIN_0651,On-site Confirmation,187500000,430000,26.6,11,18,West,2,2,Available,21,0,G52Iz8V2B9,Platform A,2024,8,2,Friday,344,Real Listing
TRAIN_0652,Phone Confirmation,402000000,510000,,2,4,South,2,1,Not Available,,0,x68FU7B0S3,Platform B,2024,2,27,Tuesday,501,Fake Listing
TRAIN_0653,On-site Confirmation,164500000,540000,25.56,7,10,Southeast,2,1,Available,1,17,w37Qk3B9D2,Platform B,2024,12,17,Tuesday,207,Real Listing
TRAIN_0654,On-site Confirmation,11500000,380000,,3,4,West,1,1,Not Available,,0,q18xI5H8Z1,Platform A,2024,10,22,Tuesday,263,Real Listing
TRAIN_0655,On-site Confirmation,152500000,120000,29.7,5,9,남서향,1,1,Available,2,10,r82ax9M3U3,Platform B,2024,8,23,Friday,323,Real Listing
TRAIN_0656,서류확인,158500000,540000,29.81,,9,Southeast,2,1,Available,8,11,x68FU7B0S3,Platform C,2024,11,4,Monday,250,Real Listing
TRAIN_0657,On-site Confirmation,75000000,440000,33.05,2,3,남서향,2,1,Not Available,,0,I97SP1K4K9,Platform A,2024,10,5,Saturday,280,Real Listing
TRAIN_0658,On-site Confirmation,368000000,50000,,2,4,North,1,1,Available,2,0,S12iP7V0Q9,Platform A,2024,5,13,Monday,425,Fake Listing
TRAIN_0659,On-site Confirmation,345500000,500000,21.22,5,15,West,1,1,Available,3,6,G52Iz8V2B9,Platform C,2023,10,24,Tuesday,627,Real Listing
TRAIN_0660,On-site Confirmation,15500000,390000,23.85,,15,West,1,1,Available,1,0,U24ZN1W3V8,Platform A,2024,11,10,Sunday,244,Real Listing
TRAIN_0661,On-site Confirmation,16000000,580000,42.9,3,5,남서향,2,1,Not Available,,0,U93ap2F8Z1,Platform C,2024,11,13,Wednesday,241,Real Listing
TRAIN_0662,On-site Confirmation,103000000,240000,,,7,South,1,1,Available,4,17,Z18up3D1C3,Platform A,2024,9,11,Wednesday,304,Real Listing
TRAIN_0663,On-site Confirmation,349500000,750000,17.5,,14,South,1,1,Available,104,11,d24sj2E4L0,Platform A,2024,9,2,Monday,313,Real Listing
TRAIN_0664,On-site Confirmation,117500000,360000,17.5,8,8,West,1,1,Available,3,12,H90uE4C0W5,Platform A,2024,7,13,Saturday,364,Fake Listing
TRAIN_0665,Phone Confirmation,141500000,190000,35.02,4,9,Southeast,1,1,Available,1,3,G52Iz8V2B9,F플랫폼,2024,7,29,Monday,348,Real Listing
TRAIN_0666,On-site Confirmation,194500000,700000,17.5,,8,East,1,1,Available,4,1,o97gJ6P3O8,H플랫폼,2024,12,26,Thursday,198,Real Listing
TRAIN_0667,On-site Confirmation,126500000,220000,36.48,19,20,West,2,1,Available,47,2,G52Iz8V2B9,Platform B,2023,11,2,Thursday,618,Real Listing
TRAIN_0668,On-site Confirmation,102000000,360000,26.25,3,8,West,1,1,Available,4,18,H90uE4C0W5,Platform A,2024,10,6,Sunday,279,Real Listing
TRAIN_0669,Phone Confirmation,342000000,590000,,,8,North,1,1,Not Available,5,12,D30QB7N3P2,Platform A,2024,3,3,Sunday,496,Fake Listing
TRAIN_0670,Phone Confirmation,329500000,450000,28.88,1,9,북서향,1,1,Available,3,0,G52Iz8V2B9,Platform B,2024,7,25,Thursday,352,Real Listing
TRAIN_0671,Phone Confirmation,167500000,350000,,2,11,South,1,1,Available,16,0,h29Tb4Z5T5,Platform B,2024,12,7,Saturday,217,Real Listing
TRAIN_0672,On-site Confirmation,110000000,610000,22.79,2,2,북서향,2,2,Available,4,7,G52Iz8V2B9,Platform A,2023,9,26,Tuesday,655,Real Listing
TRAIN_0673,Phone Confirmation,117000000,50000,27.68,9,10,East,1,1,Available,11,3,G52Iz8V2B9,Platform A,2024,3,3,Sunday,496,Real Listing
TRAIN_0674,On-site Confirmation,10500000,70000,17.5,6,9,North,1,1,Not Available,58,3,p26Fi7V4A8,Platform C,2024,11,27,Wednesday,227,Real Listing
TRAIN_0675,On-site Confirmation,113000000,710000,34.71,,9,Southeast,1,1,Available,18,5,W61Ep0B6G8,G플랫폼,2024,8,9,Friday,337,Fake Listing
TRAIN_0676,On-site Confirmation,162500000,740000,,2,4,East,2,1,Not Available,,0,o80Xg3Q1Q7,Platform D,2024,9,4,Wednesday,311,Real Listing
TRAIN_0677,On-site Confirmation,126000000,670000,,2,4,남서향,1,1,Not Available,,0,M02bn7Y4P0,Platform D,2024,11,8,Friday,246,Real Listing
TRAIN_0678,서류확인,17000000,730000,29.6,5,9,East,1,1,Available,8,0,J30yG7F1O0,Platform C,2024,11,23,Saturday,231,Real Listing
TRAIN_0679,Phone Confirmation,146000000,540000,17.5,2,2,Southeast,1,1,Available,11,10,G52Iz8V2B9,J플랫폼,2025,1,23,Thursday,170,Real Listing
TRAIN_0680,On-site Confirmation,6500000,100000,,2,3,East,2,1,Not Available,,0,b03oE4G3F6,Platform A,2024,10,28,Monday,257,Real Listing
TRAIN_0681,On-site Confirmation,89000000,440000,39.67,3,4,북동향,2,1,Available,,0,C74MD6S8M9,Platform D,2024,7,10,Wednesday,367,Fake Listing
TRAIN_0682,On-site Confirmation,15500000,140000,,5,6,East,2,1,Available,5,12,t93Nt6I2I0,Platform B,2024,6,24,Monday,383,Fake Listing
TRAIN_0683,On-site Confirmation,321500000,710000,19.93,6,19,East,1,1,Available,16,4,G52Iz8V2B9,Platform C,2024,10,22,Tuesday,263,Real Listing
TRAIN_0684,On-site Confirmation,404000000,290000,27.46,8,12,West,1,1,Available,34,4,G52Iz8V2B9,Platform A,2023,11,13,Monday,607,Real Listing
TRAIN_0685,On-site Confirmation,127000000,70000,,6,7,South,1,1,Not Available,,0,g99sy3I3R8,Platform A,2024,9,4,Wednesday,311,Real Listing
TRAIN_0686,On-site Confirmation,181500000,520000,,,,West,,,Not Available,,0,M02bn7Y4P0,Platform D,2024,8,15,Thursday,331,Real Listing
TRAIN_0687,On-site Confirmation,170500000,440000,21.28,11,12,West,1,1,Not Available,47,0,G52Iz8V2B9,Platform C,2024,10,9,Wednesday,276,Real Listing
TRAIN_0688,On-site Confirmation,112500000,170000,21.23,4,8,East,1,1,Available,6,9,S69fV9Z3J7,Platform C,2024,6,30,Sunday,377,Fake Listing
TRAIN_0689,On-site Confirmation,161500000,20000,35.44,8,13,South,1,1,Not Available,30,12,G52Iz8V2B9,Platform A,2023,11,4,Saturday,616,Real Listing
TRAIN_0690,On-site Confirmation,189500000,10000,37.13,1,19,West,1,1,Available,5,0,G52Iz8V2B9,Platform C,2023,11,4,Saturday,616,Real Listing
TRAIN_0691,On-site Confirmation,182000000,100000,30.64,6,6,West,2,1,Not Available,28,12,G52Iz8V2B9,Platform B,2024,3,20,Wednesday,479,Real Listing
TRAIN_0692,On-site Confirmation,158500000,170000,28.31,17,21,East,1,1,Not Available,22,8,G52Iz8V2B9,Platform B,2024,9,1,Sunday,314,Real Listing
TRAIN_0693,On-site Confirmation,348500000,200000,,2,3,북서향,2,1,Not Available,,3,Z81Jv8Z5G2,H플랫폼,2024,9,20,Friday,295,Real Listing
TRAIN_0694,On-site Confirmation,19500000,460000,17.5,5,6,남서향,1,1,Not Available,35,0,G52Iz8V2B9,Platform A,2024,4,6,Saturday,462,Real Listing
TRAIN_0695,On-site Confirmation,14500000,380000,24.01,,10,남서향,2,1,Available,8,0,S12iP7V0Q9,Platform A,2024,12,25,Wednesday,199,Real Listing
TRAIN_0696,서류확인,18500000,180000,41.8,2,3,North,2,1,Not Available,,12,w85cb3W8U9,Platform A,2023,8,23,Wednesday,689,Fake Listing
TRAIN_0697,On-site Confirmation,179500000,370000,,2,3,East,2,1,Not Available,,0,W63TA3X9H5,Platform A,2024,9,3,Tuesday,312,Real Listing
TRAIN_0698,On-site Confirmation,93500000,620000,28.17,4,5,West,2,1,Available,29,7,G52Iz8V2B9,Platform B,2023,10,13,Friday,638,Real Listing
TRAIN_0699,On-site Confirmation,100500000,110000,24.52,8,10,East,1,1,Available,10,5,G52Iz8V2B9,Platform A,2024,10,4,Friday,281,Real Listing
TRAIN_0700,On-site Confirmation,107000000,250000,29.89,4,6,Southeast,2,1,Available,8,1,r82ax9M3U3,Platform B,2024,10,10,Thursday,275,Real Listing
TRAIN_0701,Phone Confirmation,142000000,260000,31.46,2,6,South,1,1,Available,4,9,j96GJ1G2T3,Platform D,2024,11,24,Sunday,230,Real Listing
TRAIN_0702,On-site Confirmation,11500000,610000,28.01,10,12,West,1,1,Available,34,13,G52Iz8V2B9,Platform B,2024,6,20,Thursday,387,Real Listing
TRAIN_0703,On-site Confirmation,135500000,100000,27.48,3,7,West,2,1,Available,,9,N45gM0M7R0,Platform B,2024,10,8,Tuesday,277,Real Listing
TRAIN_0704,On-site Confirmation,135000000,720000,43.48,4,13,North,2,1,Available,,22,C41wx1K6U9,Platform B,2024,9,2,Monday,313,Real Listing
TRAIN_0705,On-site Confirmation,24000000,200000,29.15,4,15,East,1,1,Not Available,38,5,G52Iz8V2B9,I플랫폼,2024,4,11,Thursday,457,Real Listing
TRAIN_0706,On-site Confirmation,140000000,400000,17.5,19,20,South,1,1,Not Available,38,2,G52Iz8V2B9,Platform B,2024,3,1,Friday,498,Real Listing
TRAIN_0707,On-site Confirmation,163500000,690000,20.47,,6,North,1,1,Available,6,0,M92wE9E7E5,Platform A,2024,5,12,Sunday,426,Fake Listing
TRAIN_0708,On-site Confirmation,164500000,150000,17.5,6,6,West,1,1,Not Available,6,0,J52gJ2E4T6,Platform C,2023,6,25,Sunday,748,Fake Listing
TRAIN_0709,서류확인,28000000,220000,19.83,3,6,North,1,1,Not Available,6,8,V19Zw6E4O7,Platform A,2024,8,24,Saturday,322,Real Listing
TRAIN_0710,On-site Confirmation,397000000,60000,38.44,11,15,북서향,1,1,Not Available,2,10,G52Iz8V2B9,Platform A,2023,12,11,Monday,579,Real Listing
TRAIN_0711,On-site Confirmation,122500000,400000,,2,3,East,2,1,Not Available,,2,D49QC8I7L2,Platform A,2024,12,5,Thursday,219,Real Listing
TRAIN_0712,On-site Confirmation,95500000,340000,32.1,17,21,남서향,2,1,Not Available,43,0,G52Iz8V2B9,Platform A,2024,3,16,Saturday,483,Real Listing
TRAIN_0713,On-site Confirmation,28000000,690000,,9,10,North,2,1,Not Available,1,4,O47hX9Z3L9,Platform A,2024,2,14,Wednesday,514,Real Listing
TRAIN_0714,서류확인,6000000,150000,19.83,3,8,East,1,1,Not Available,2,1,V19Zw6E4O7,Platform A,2024,9,18,Wednesday,297,Real Listing
TRAIN_0715,On-site Confirmation,325500000,160000,,3,4,North,1,1,Not Available,,12,X95Bu4S5H2,Platform B,2023,7,9,Sunday,734,Fake Listing
TRAIN_0716,On-site Confirmation,67500000,390000,17.5,7,14,South,1,1,Available,104,18,z40LO7P9C9,F플랫폼,2024,8,25,Sunday,321,Real Listing
TRAIN_0717,On-site Confirmation,396000000,380000,43.33,10,11,North,1,1,Not Available,29,0,G52Iz8V2B9,Platform A,2024,8,22,Thursday,324,Real Listing
TRAIN_0718,On-site Confirmation,374500000,700000,31.43,2,6,북동향,1,1,Not Available,49,7,G52Iz8V2B9,Platform A,2023,12,9,Saturday,581,Real Listing
TRAIN_0719,서류확인,8500000,300000,,3,6,남서향,1,1,Not Available,2,0,w85cb3W8U9,Platform A,2024,8,29,Thursday,317,Real Listing
TRAIN_0720,On-site Confirmation,161000000,50000,,,3,East,2,1,Not Available,,0,X71Iq5L2C6,Platform A,2024,7,6,Saturday,371,Fake Listing
TRAIN_0721,Phone Confirmation,7500000,20000,17.5,5,13,West,1,1,Available,40,8,G52Iz8V2B9,Platform D,2024,12,26,Thursday,198,Real Listing
TRAIN_0722,On-site Confirmation,343500000,240000,49.59,3,5,North,2,1,Not Available,,19,C74MD6S8M9,Platform D,2023,9,2,Saturday,679,Fake Listing
TRAIN_0723,서류확인,95000000,590000,17.5,6,6,남서향,1,1,Available,8,5,Z68ZJ6F6L4,Platform A,2024,12,30,Monday,194,Real Listing
TRAIN_0724,On-site Confirmation,398500000,60000,35.58,5,9,East,1,1,Not Available,48,0,G52Iz8V2B9,Platform B,2024,5,10,Friday,428,Real Listing
TRAIN_0725,서류확인,364000000,0,17.5,10,16,북동향,1,1,Available,34,0,R17wi5N4M8,Platform D,2024,5,19,Sunday,419,Fake Listing
TRAIN_0726,서류확인,78500000,110000,,,4,North,2,1,Not Available,,8,h32je0U3R6,Platform B,2024,6,5,Wednesday,402,Real Listing
TRAIN_0727,On-site Confirmation,347500000,170000,17.5,5,10,South,2,1,Available,2,8,G52Iz8V2B9,Platform A,2024,1,18,Thursday,541,Real Listing
TRAIN_0728,On-site Confirmation,6000000,90000,19.83,3,5,East,1,1,Not Available,,12,U38lq5B5A8,Platform A,2024,7,31,Wednesday,346,Real Listing
TRAIN_0729,On-site Confirmation,155000000,570000,33.97,1,12,North,1,1,Not Available,49,9,G52Iz8V2B9,Platform C,2024,10,28,Monday,257,Real Listing
TRAIN_0730,On-site Confirmation,75000000,620000,18.2,5,6,Southeast,1,1,Not Available,,7,i13Mx4U8C3,Platform D,2024,11,15,Friday,239,Real Listing
TRAIN_0731,On-site Confirmation,324000000,510000,40.89,6,6,East,1,1,Available,11,1,W02qh9Z4E0,Platform E,2024,10,23,Wednesday,262,Real Listing
TRAIN_0732,On-site Confirmation,19500000,250000,27.48,,7,West,2,1,Available,10,1,y86qM5T6T6,Platform A,2024,12,8,Sunday,216,Real Listing
TRAIN_0733,On-site Confirmation,20500000,350000,41.94,6,6,South,2,1,Available,,0,W61Ep0B6G8,Platform B,2024,10,18,Friday,267,Real Listing
TRAIN_0734,서류확인,145000000,450000,,3,4,South,1,1,Available,1,6,o80Xg3Q1Q7,Platform D,2025,1,16,Thursday,177,Real Listing
TRAIN_0735,On-site Confirmation,19000000,100000,34.28,10,19,South,1,1,Available,40,0,G52Iz8V2B9,F플랫폼,2024,1,14,Sunday,545,Real Listing
TRAIN_0736,On-site Confirmation,27500000,240000,,3,5,West,2,1,Available,6,1,u37tM2V9J1,Platform D,2024,12,5,Thursday,219,Real Listing
TRAIN_0737,On-site Confirmation,174000000,160000,,5,8,South,1,1,Not Available,,12,D49QC8I7L2,Platform A,2024,3,17,Sunday,482,Fake Listing
TRAIN_0738,On-site Confirmation,78000000,340000,27.69,3,9,West,1,1,Not Available,13,1,S30er7F3P4,Platform E,2024,10,21,Monday,264,Real Listing
TRAIN_0739,On-site Confirmation,161000000,750000,39.32,10,13,East,2,1,Not Available,47,12,G52Iz8V2B9,Platform B,2025,1,12,Sunday,181,Real Listing
TRAIN_0740,서류확인,160500000,670000,26.25,3,7,남서향,1,1,Available,,8,r82ax9M3U3,Platform B,2024,8,31,Saturday,315,Real Listing
TRAIN_0741,서류확인,101000000,230000,20.33,2,6,South,1,1,Available,32,1,G52Iz8V2B9,Platform A,2024,11,21,Thursday,233,Real Listing
TRAIN_0742,On-site Confirmation,150500000,170000,17.5,,9,남서향,1,1,Not Available,8,7,f41Wq8P7T9,Platform A,2024,12,10,Tuesday,214,Real Listing
TRAIN_0743,On-site Confirmation,79000000,140000,46.03,3,15,북서향,1,1,Available,42,14,G52Iz8V2B9,Platform E,2024,8,8,Thursday,338,Real Listing
TRAIN_0744,서류확인,133000000,80000,30.1,2,3,South,2,1,Not Available,,9,J52gJ2E4T6,Platform C,2025,1,19,Sunday,174,Real Listing
TRAIN_0745,On-site Confirmation,91500000,250000,,3,4,East,2,1,Not Available,3,1,L57cH2E4P5,Platform B,2024,12,23,Monday,201,Real Listing
TRAIN_0746,On-site Confirmation,86500000,450000,17.5,4,6,남서향,1,1,Not Available,,0,y83fz3N4Q6,Platform B,2025,1,8,Wednesday,185,Real Listing
TRAIN_0747,Phone Confirmation,113500000,150000,19.72,3,3,South,1,1,Not Available,41,10,G52Iz8V2B9,Platform A,2024,5,15,Wednesday,423,Real Listing
TRAIN_0748,On-site Confirmation,368000000,510000,,4,5,East,1,1,Available,4,7,r16Dr6Z7C3,G플랫폼,2024,8,22,Thursday,324,Real Listing
TRAIN_0749,On-site Confirmation,162500000,470000,28.65,2,2,남서향,1,1,Not Available,14,6,G52Iz8V2B9,Platform A,2024,11,30,Saturday,224,Real Listing
TRAIN_0750,On-site Confirmation,97500000,510000,,2,5,Southeast,1,1,Not Available,,4,u92NN7A1E5,Platform A,2024,12,19,Thursday,205,Real Listing
TRAIN_0751,Phone Confirmation,27500000,490000,,8,9,Southeast,2,1,Available,1,6,s37cv8A6L4,Platform A,2024,11,2,Saturday,252,Real Listing
TRAIN_0752,서류확인,80000000,490000,29.23,9,10,North,1,1,Available,15,9,G52Iz8V2B9,Platform C,2024,5,24,Friday,414,Real Listing
TRAIN_0753,On-site Confirmation,9500000,250000,,,5,East,2,1,Available,4,5,b03oE4G3F6,Platform A,2024,5,22,Wednesday,416,Real Listing
TRAIN_0754,서류확인,172500000,550000,23.05,6,20,North,1,1,Available,44,5,G52Iz8V2B9,Platform B,2024,12,30,Monday,194,Real Listing
TRAIN_0755,On-site Confirmation,149500000,70000,30.48,10,15,South,2,1,Available,20,9,G52Iz8V2B9,Platform A,2024,7,21,Sunday,356,Real Listing
TRAIN_0756,Phone Confirmation,138500000,600000,24.16,4,11,South,2,1,Available,28,8,G52Iz8V2B9,Platform A,2024,8,4,Sunday,342,Real Listing
TRAIN_0757,Phone Confirmation,380500000,350000,30.27,13,16,Southeast,1,1,Available,34,2,G52Iz8V2B9,Platform A,2024,3,27,Wednesday,472,Real Listing
TRAIN_0758,Phone Confirmation,133500000,150000,39.01,16,20,South,2,2,Available,33,3,G52Iz8V2B9,Platform B,2024,7,7,Sunday,370,Real Listing
TRAIN_0759,On-site Confirmation,181000000,170000,25.12,3,5,North,1,1,Not Available,41,12,G52Iz8V2B9,Platform D,2024,6,13,Thursday,394,Real Listing
TRAIN_0760,On-site Confirmation,92000000,370000,,6,6,North,1,1,Not Available,,0,d22DX4Y4P8,Platform B,2024,11,22,Friday,232,Real Listing
TRAIN_0761,On-site Confirmation,14000000,160000,,5,5,South,1,1,Not Available,,9,S85HO1N1A1,Platform B,2024,10,2,Wednesday,283,Real Listing
TRAIN_0762,서류확인,89000000,500000,40.6,1,2,East,2,1,Available,18,10,G52Iz8V2B9,Platform A,2024,3,27,Wednesday,472,Real Listing
TRAIN_0763,On-site Confirmation,99500000,20000,17.5,2,5,North,1,1,Not Available,45,12,G52Iz8V2B9,Platform B,2024,8,27,Tuesday,319,Real Listing
TRAIN_0764,On-site Confirmation,156000000,190000,33.96,13,17,South,1,1,Available,31,0,G52Iz8V2B9,Platform B,2024,11,5,Tuesday,249,Real Listing
TRAIN_0765,On-site Confirmation,75000000,530000,,4,5,북서향,1,1,Not Available,,0,u92NN7A1E5,Platform A,2024,10,28,Monday,257,Real Listing
TRAIN_0766,On-site Confirmation,379000000,300000,31.63,6,10,West,1,1,Available,32,8,G52Iz8V2B9,Platform B,2023,12,11,Monday,579,Real Listing
TRAIN_0767,On-site Confirmation,94000000,280000,31.7,5,7,East,2,1,Available,,0,N45gM0M7R0,Platform B,2024,11,26,Tuesday,228,Real Listing
TRAIN_0768,On-site Confirmation,74000000,100000,29.75,5,6,East,2,1,Available,4,7,c44yg1K7W7,Platform A,2024,9,25,Wednesday,290,Real Listing
TRAIN_0769,On-site Confirmation,18500000,500000,40.89,6,6,East,1,1,Available,11,0,S30er7F3P4,Platform E,2024,8,12,Monday,334,Real Listing
TRAIN_0770,On-site Confirmation,116500000,450000,,3,4,South,2,1,Available,5,7,j26Tt8M9O4,Platform B,2024,11,29,Friday,225,Real Listing
TRAIN_0771,서류확인,126000000,490000,20.65,2,2,North,1,1,Available,39,3,G52Iz8V2B9,Platform A,2024,10,22,Tuesday,263,Real Listing
TRAIN_0772,On-site Confirmation,194000000,540000,,2,4,East,1,1,Available,3,0,L43HH2L9R7,Platform B,2024,11,2,Saturday,252,Real Listing
TRAIN_0773,Phone Confirmation,165000000,140000,18.1,4,8,East,1,1,Not Available,4,14,J52gJ2E4T6,Platform C,2024,7,25,Thursday,352,Fake Listing
TRAIN_0774,Phone Confirmation,143500000,460000,,4,8,북동향,1,1,Not Available,3,9,K86UF7I0P3,Platform C,2024,11,3,Sunday,251,Real Listing
TRAIN_0775,On-site Confirmation,106500000,550000,19.71,8,12,남서향,1,1,Not Available,29,13,G52Iz8V2B9,Platform D,2024,11,11,Monday,243,Real Listing
TRAIN_0776,On-site Confirmation,332000000,290000,17.5,3,10,남서향,1,1,Not Available,3,0,Z78BN7Z0U2,Platform A,2024,12,8,Sunday,216,Real Listing
TRAIN_0777,Phone Confirmation,10500000,310000,19.57,9,10,East,2,1,Not Available,35,2,G52Iz8V2B9,Platform A,2023,11,17,Friday,603,Real Listing
TRAIN_0778,On-site Confirmation,155500000,710000,,2,3,Southeast,1,1,Not Available,,0,u92NN7A1E5,Platform A,2024,9,25,Wednesday,290,Real Listing
TRAIN_0779,서류확인,67000000,110000,,2,4,South,2,1,Not Available,,0,g99sy3I3R8,Platform A,2024,11,11,Monday,243,Real Listing
TRAIN_0780,On-site Confirmation,167000000,220000,19.83,4,4,North,1,1,Not Available,,0,f28iD1U4F3,Platform B,2024,1,21,Sunday,538,Real Listing
TRAIN_0781,On-site Confirmation,74000000,230000,37.55,6,6,East,2,1,Available,,5,S85HO1N1A1,Platform B,2024,9,25,Wednesday,290,Real Listing
TRAIN_0782,Phone Confirmation,336500000,630000,17.5,4,4,Southeast,1,1,Not Available,,5,Z78BN7Z0U2,Platform A,2024,9,11,Wednesday,304,Real Listing
TRAIN_0783,Phone Confirmation,177500000,680000,29.95,3,9,East,2,1,Available,32,12,r74nn1Y4T7,Platform B,2024,9,15,Sunday,300,Real Listing
TRAIN_0784,On-site Confirmation,7000000,660000,19.83,8,9,남서향,1,1,Not Available,,18,s37cv8A6L4,Platform A,2024,7,16,Tuesday,361,Fake Listing
TRAIN_0785,On-site Confirmation,390500000,630000,17.5,,16,North,1,1,Not Available,15,7,Y15LM5Z8N3,Platform E,2024,7,25,Thursday,352,Fake Listing
TRAIN_0786,Phone Confirmation,121500000,140000,22.45,12,15,Southeast,1,1,Available,15,10,G52Iz8V2B9,Platform B,2023,12,16,Saturday,574,Real Listing
TRAIN_0787,서류확인,157500000,230000,,2,3,East,1,1,Not Available,,0,g15YB8N2R6,Platform A,2024,11,26,Tuesday,228,Real Listing
TRAIN_0788,On-site Confirmation,378000000,190000,42.57,3,4,East,1,1,Available,10,1,G52Iz8V2B9,Platform A,2024,12,28,Saturday,196,Real Listing
TRAIN_0789,On-site Confirmation,5000000,210000,37.73,5,9,북서향,1,1,Not Available,41,15,G52Iz8V2B9,Platform C,2024,6,2,Sunday,405,Real Listing
TRAIN_0790,On-site Confirmation,196000000,200000,,3,5,Southeast,2,1,Not Available,,8,A72Mx9C8U2,Platform A,2024,8,28,Wednesday,318,Real Listing
TRAIN_0791,On-site Confirmation,85000000,280000,34.46,1,8,North,1,1,Not Available,33,5,G52Iz8V2B9,Platform B,2024,10,31,Thursday,254,Real Listing
TRAIN_0792,서류확인,348500000,510000,40.89,6,6,West,1,1,Not Available,11,7,U32BI2S7X3,Platform E,2023,12,15,Friday,575,Real Listing
TRAIN_0793,On-site Confirmation,117000000,660000,,5,6,Southeast,1,1,Not Available,,1,r96CF3I0N9,Platform B,2024,11,15,Friday,239,Real Listing
TRAIN_0794,On-site Confirmation,165500000,350000,28.98,18,19,North,1,1,Available,25,0,G52Iz8V2B9,Platform C,2024,10,25,Friday,260,Real Listing
TRAIN_0795,On-site Confirmation,165500000,590000,,4,4,South,1,1,Available,3,10,o80Xg3Q1Q7,Platform A,2024,5,2,Thursday,436,Fake Listing
TRAIN_0796,On-site Confirmation,166000000,600000,,2,3,South,1,1,Not Available,,0,D60hO0T7H3,Platform A,2024,9,30,Monday,285,Real Listing
TRAIN_0797,On-site Confirmation,101500000,420000,32.21,2,2,South,1,1,Not Available,10,3,G52Iz8V2B9,Platform B,2023,10,26,Thursday,625,Real Listing
TRAIN_0798,On-site Confirmation,347500000,710000,,3,4,북서향,2,1,Not Available,1,6,Z18up3D1C3,Platform A,2024,12,23,Monday,201,Real Listing
TRAIN_0799,On-site Confirmation,22500000,670000,27.46,2,3,West,2,1,Not Available,,0,W88DA3W2Q3,Platform D,2024,8,3,Saturday,343,Fake Listing
TRAIN_0800,Phone Confirmation,26000000,600000,,2,4,South,2,1,Not Available,,0,H90uE4C0W5,Platform A,2024,12,7,Saturday,217,Real Listing
TRAIN_0801,서류확인,149000000,290000,36.96,4,4,South,2,2,Available,5,10,G52Iz8V2B9,Platform A,2024,10,7,Monday,278,Real Listing
TRAIN_0802,On-site Confirmation,99000000,570000,,5,6,East,2,1,Available,,14,d22DX4Y4P8,Platform B,2024,9,29,Sunday,286,Real Listing
TRAIN_0803,On-site Confirmation,134500000,60000,,2,3,South,2,1,Not Available,,0,u92NN7A1E5,Platform A,2024,9,18,Wednesday,297,Real Listing
TRAIN_0804,서류확인,114000000,680000,23.77,12,12,East,1,1,Not Available,31,2,G52Iz8V2B9,Platform A,2025,1,14,Tuesday,179,Real Listing
TRAIN_0805,On-site Confirmation,137500000,730000,19.8,3,6,북동향,1,1,Available,6,6,J52gJ2E4T6,Platform C,2024,10,9,Wednesday,276,Real Listing
TRAIN_0806,On-site Confirmation,117000000,220000,48.6,2,3,North,2,1,Not Available,,14,w51BQ1O6W9,Platform B,2024,4,23,Tuesday,445,Fake Listing
